Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x7.7,1,470uF,C114446
C10,0805,1,150n,C307539
"C11, C12",0805,2,1µ,C28323
"C13, C23, C24",0402,3,10n,C15195
"C15, C17",0805,2,10µ,C15850
"C16, C18, C19, C2, C5, C6, C8",0402,7,100n,C307331
"C20, C21",0603,2,22µ,C2992620
C22,0603,1,75pF,C282074
"C4, C7, C9",1206,3,2µ2,C50254
"D1, D6, D9",D_SOD-123,3,D_Schottky,C8598
"D10, D11",D_SOD-323,2,1N4148WS,C108805
"D7, D8",D_SOD-323,2,TVS_5v,C85200
L1,1210,1,470µ,C295109
L2,L_Taiyo-Yuden_MD-3030,1,15uH,C222856
L3,0402,1,56nH,C27143
"Q1, Q2",SOT-23,2,2N7002,C916396
"R1, R21",0603,2,4k7,C23162
"R10, R8",0603,2,10k,C23179
"R11, R20, R5, R7, R9",0603,5,1k,C253329
R12,0603,1,511k,C101089
R13,0603,1,105k,C141685
R14,0603,1,49.9,C114625
R15,0603,1,100k,C465461
R16,0603,1,13.3k,C234280
R18,2010,1,10,C458682
"R19, R2",0603,2,100,C22775
"R3, R4",0603,2,2k2,C4190
R6,0603,1,330,C23138
U1,Quectel_L70-R,1,L70-R,C2916232
U2,SOT-23,1,AP2120N-1.8TRG1,C460317 
U3,SGTL5000-QFN-20-1EP_3x3mm_P0.4mm_ThermalVias,1,SGTL5000XNLA3,C2651833
U6,SOT-23-6,1,TPS54202DDC,C191884
