Designator,Mid X,Mid Y,Rotation,Layer
C1,143.764,-105.504,270.0,top
C10,162.2625,-130.796,180.0,top
C11,159.278,-133.844,90.0,top
C12,156.972,-131.064,270.0,top
C13,151.09,-133.566,0.0,top
C15,157.226,-103.124,90.0,top
C16,159.004,-103.886,90.0,top
C17,160.9715,-115.5715,270.0,top
C18,162.7495,-114.8095,270.0,top
C19,163.0035,-109.2215,0.0,top
C2,159.0294,-101.2952,90.0,top
C20,157.9235,-108.9675,180.0,top
C21,157.4155,-114.5555,0.0,top
C22,166.8135,-110.4915,270.0,top
C23,136.652,-100.584,0.0,top
C24,141.252,-100.584,0.0,top
C4,177.49,-135.382,90.0,top
C5,174.264,-139.432,0.0,top
C6,177.546,-130.076,270.0,top
C7,167.914,-129.15,0.0,top
C8,166.1995,-131.1135,0.0,top
C9,173.502,-133.336,0.0,top
D1,154.178,-103.506,270.0,top
D10,180.086,-123.952,180.0,top
D11,172.212,-123.952,0.0,top
D6,154.3675,-113.538,90.0,top
D7,153.416,-139.192,180.0,top
D8,156.972,-139.192,0.0,top
D9,180.34,-137.922,90.0,top
L1,174.518,-129.78,0.0,top
L2,157.6695,-111.7615,180.0,top
L3,180.34,-93.98,90.0,top
Q1,153.59,-131.05,180.0,top
Q2,150.6451,-119.8524,180.0,top
R1,150.69,-130.766,270.0,top
R10,144.78,-136.906,90.0,top
R11,140.5382,-122.5296,90.0,top
R12,166.0515,-115.8255,270.0,top
R13,164.2735,-115.3175,90.0,top
R14,162.4955,-107.6975,180.0,top
R15,165.0355,-110.4915,90.0,top
R16,166.0515,-112.7775,180.0,top
R18,176.53,-93.472,180.0,top
R19,180.34,-129.731,270.0,top
R2,163.342,-138.67,270.0,top
R20,140.589,-130.81,270.0,top
R21,147.0152,-120.0658,270.0,top
R3,169.565,-137.146,0.0,top
R4,168.803,-133.6535,180.0,top
R5,138.2014,-118.11,180.0,top
R6,150.876,-103.632,270.0,top
R7,136.906,-107.95,180.0,top
R8,145.034,-140.462,90.0,top
R9,140.5382,-111.9632,270.0,top
U1,166.14,-101.01,0.0,top
U2,173.756,-136.638,90.0,top
U3,164.2945,-134.2885,180.0,top
U6,161.9875,-111.7615,270.0,top
